Date,Open,High,Low,Close,Adj Close,Volume
2016-07-25,0.761302,0.762032,0.755407,0.761296,0.761296,0
2016-07-26,0.756292,0.758702,0.755070,0.756264,0.756264,0
2016-07-27,0.759019,0.759959,0.756258,0.758985,0.758985,0
2016-07-28,0.761470,0.763003,0.758087,0.761191,0.761191,0
2016-07-29,0.760375,0.768758,0.758420,0.760346,0.760346,0
2016-08-01,0.765697,0.767477,0.762660,0.765796,0.765796,0
2016-08-02,0.762015,0.768787,0.761041,0.762050,0.762050,0
2016-08-03,0.762986,0.765164,0.760699,0.763044,0.763044,0
2016-08-04,0.764994,0.767843,0.764146,0.765140,0.765140,0
2016-08-05,0.768332,0.768604,0.757650,0.768321,0.768321,0
2016-08-08,0.758599,0.761157,0.758323,0.758731,0.758731,0
2016-08-09,0.760150,0.762771,0.758213,0.760150,0.760150,0
2016-08-10,0.762352,0.769799,0.762352,0.762381,0.762381,0
2016-08-11,0.765843,0.768947,0.764579,0.765931,0.765931,0
2016-08-12,0.770042,0.773676,0.769758,0.770173,0.770173,0
2016-08-15,0.771688,0.775092,0.770760,0.771682,0.771682,0
2016-08-16,0.773521,0.781244,0.773204,0.773545,0.773545,0
2016-08-17,0.777375,0.777986,0.774401,0.777406,0.777406,0
2016-08-18,0.778543,0.783269,0.778119,0.778555,0.778555,0
2016-08-19,0.782583,0.782607,0.775723,0.782730,0.782730,0
2016-08-22,0.775855,0.775855,0.771754,0.775699,0.775699,0
2016-08-23,0.772720,0.777369,0.772720,0.772798,0.772798,0
2016-08-24,0.773940,0.775134,0.771837,0.774024,0.774024,0
2016-08-25,0.773335,0.775314,0.772869,0.773311,0.773311,0
2016-08-26,0.774389,0.779114,0.772380,0.774449,0.774449,0
2016-08-29,0.768161,0.769468,0.766466,0.768356,0.768356,0
2016-08-30,0.768510,0.768699,0.764152,0.768640,0.768640,0
2016-08-31,0.764053,0.764538,0.760786,0.764135,0.764135,0
2016-09-01,0.762782,0.764193,0.760636,0.762823,0.762823,0
2016-09-02,0.763779,0.769604,0.762526,0.763709,0.763709,0
2016-09-05,0.769556,0.774749,0.769556,0.769586,0.769586,0
2016-09-06,0.773353,0.779557,0.773311,0.773443,0.773443,0
2016-09-07,0.778283,0.779800,0.774659,0.778458,0.778458,0
2016-09-08,0.776199,0.778095,0.773222,0.776271,0.776271,0
2016-09-09,0.773688,0.774713,0.766530,0.773934,0.773934,0
2016-09-12,0.766178,0.766231,0.762021,0.766401,0.766401,0
2016-09-13,0.767454,0.767454,0.759238,0.767460,0.767460,0
2016-09-14,0.759890,0.761690,0.757128,0.760011,0.760011,0
2016-09-15,0.757972,0.761203,0.755567,0.757943,0.757943,0
2016-09-16,0.759965,0.760977,0.754916,0.759936,0.759936,0
2016-09-19,0.757656,0.761278,0.757438,0.757650,0.757650,0
2016-09-20,0.757455,0.758035,0.755144,0.757461,0.757461,0
2016-09-21,0.758697,0.761052,0.756550,0.758622,0.758622,0
2016-09-22,0.764725,0.769231,0.764170,0.764374,0.764374,0
2016-09-23,0.766389,0.767371,0.759417,0.766466,0.766466,0
2016-09-26,0.760433,0.761087,0.757622,0.760364,0.760364,0
2016-09-27,0.755972,0.759601,0.753267,0.756006,0.756006,0
2016-09-28,0.756985,0.757748,0.753653,0.757174,0.757174,0
2016-09-29,0.765521,0.766401,0.762410,0.765451,0.765451,0
2016-09-30,0.760190,0.763866,0.758029,0.760300,0.760300,0
2016-10-03,0.761615,0.765210,0.760856,0.761464,0.761464,0
2016-10-04,0.762358,0.762602,0.758610,0.762433,0.762433,0
2016-10-05,0.757754,0.759215,0.755989,0.757777,0.757777,0
2016-10-06,0.758864,0.759013,0.754825,0.758898,0.758898,0
2016-10-07,0.756310,0.758190,0.751371,0.756430,0.756430,0
2016-10-10,0.754842,0.761006,0.753301,0.754637,0.754637,0
2016-10-11,0.759423,0.759423,0.754837,0.759474,0.759474,0
2016-10-12,0.755812,0.757060,0.752672,0.755904,0.755904,0
2016-10-13,0.753137,0.757295,0.751524,0.753273,0.753273,0
2016-10-14,0.757450,0.761388,0.756498,0.757444,0.757444,0
2016-10-17,0.760942,0.762178,0.758610,0.760937,0.760937,0
2016-10-18,0.762439,0.766049,0.761099,0.762497,0.762497,0
2016-10-19,0.762817,0.768835,0.761789,0.762899,0.762899,0
2016-10-20,0.761423,0.761789,0.756704,0.761423,0.761423,0
2016-10-21,0.755984,0.756058,0.749176,0.756029,0.756029,0
2016-10-24,0.748890,0.750413,0.746971,0.748895,0.748895,0
2016-10-25,0.749254,0.751484,0.747966,0.749120,0.749120,0
2016-10-26,0.748901,0.750880,0.747462,0.748951,0.748951,0
2016-10-27,0.747613,0.748856,0.746586,0.747725,0.747725,0
2016-10-28,0.747072,0.748789,0.745423,0.746977,0.746977,0
2016-10-31,0.745951,0.747719,0.744995,0.746157,0.746157,0
